sample_ID,country,site,material,S,C,N,ex_Ca,ex_Mg,ex_K,ex_Al,ex_Na,ex_Fe,ex_Mn,pH_BaCl2,CEC_eff,BS_eff,pH,P_resin,Fe_tot,Si_tot,Al_tot,P_tot,K_tot,Ca_tot,Mn_tot,Zn_tot,Cu_tot,Zn_DTPA,Cu_DTPA,Fe_DTPA,Mn_DTPA,sand,clay,silt,site_comb
CI_sb_20_soil_cal,CI,sb,soil,103.33333333333333,6.693,0.6806666666666666,351,39.7,55.2,0,12.7,1.75,26.1,3.44,2.275235881776521,99.97606326946065,6.569,1.6926772010861268,12.56,270.3,54.21,464.40000000000003,34.12,1.369,756.6,23.9,5.3,3.146666666666667,0.512,16.293333333333333,25.066666666666666,79.75,8.18,12.07,sb
CI_sb_YAMS_0001,CI,sb_icraf,soil,128,8.591999999999999,0.8450000000000001,664,241,19,0,50.4,1.7,9.33,3.55,5.564913986595861,99.99240316309096,NA,0.9740561332661649,10.5,262.9,53.83,385.3,11.73,2.38,83.19999999999999,17.3,9.7,0.616,1.07,81.2,7.04,NA,NA,NA,sb
CI_sb_YAMS_0002,CI,sb_icraf,soil,83,5.175,0.518,200,26.6,33.6,23.5,13.3,2.05,8.14,3.39,1.6226436780342977,83.85870267833445,NA,1.6192984609789984,21.490000000000002,244.5,51.18000000000001,360.3,2.395,0.4743,210.9,14,6.3,0.21,0.27,49.2,5.96,NA,NA,NA,sb
CI_sb_YAMS_0003,CI,sb_icraf,soil,77,5.562,0.491,171,30.9,32.3,29.6,18,2.3,6.06,3.28,1.5984323980886268,79.35978384403238,NA,1.3793414577490237,7.681,339.09999999999997,34.910000000000004,307.5,2.229,0.2773,108.2,13.9,5.6,0.358,0.572,79.2,4.2,NA,NA,NA,sb
CI_sb_YAMS_0004,CI,sb_icraf,soil,152,12.088000000000001,1.1300000000000001,1060,118,52.6,0,15.8,1.69,6.01,3.45,6.464470225404197,99.99176699612973,NA,2.6205259375282632,13.24,249.60000000000002,78.44,471.40000000000003,2.306,1.966,415.6,23.2,8,1.646,0.592,14.4,12.06,NA,NA,NA,sb
CI_sb_YAMS_0005,CI,sb_icraf,soil,132.99999999999997,9.512,1.002,733,71.1,79.8,0,13.5,2.12,12.8,3.36,4.5064104290299305,99.98547017057872,NA,2.9267741937969194,23.95,248.1,69.5,462.1,9.427,1.6270000000000002,832.6,26.4,11.8,0.988,0.76,17.5,21.4,NA,NA,NA,sb
CI_sb_YAMS_0006,CI,sb_icraf,soil,153,10.011000000000001,1.011,667,85.1,276,0,15.2,1.35,10.8,3.52,4.801263997881007,99.99056513538393,NA,1.739372762972481,27.89,221.1,75.38,630,30.55,2.5140000000000002,1009,31.1,18.3,1.576,1.084,25.4,31.4,NA,NA,NA,sb
CI_sb_YAMS_0007,CI,sb_icraf,soil,194,14.711,1.283,418,108,404,46.8,17.5,2.02,8.74,3.28,4.605232129539713,88.68303122949165,NA,4.182475474227479,29.369999999999997,220.6,101.6,472.7,11.739999999999998,0.7073,204.5,46.1,12.9,1.148,1.176,810,8.1,NA,NA,NA,sb
CI_sb_YAMS_0008,CI,sb_icraf,soil,176.00000000000003,11.439,1.271,1030,229,20.6,0,104,1.67,10.4,3.6,7.529798469499169,99.99499610824576,NA,2.4117803310563177,26.810000000000002,236.29999999999998,91.35,585,12.47,3.681,552.5,56.7,17.4,0.618,1.496,43.4,13.96,NA,NA,NA,sb
CI_sb_YAMS_0009,CI,sb_icraf,soil,128,10.064,1.048,859,138,129,0,31.9,1.85,4.35,3.56,5.891319128512102,99.9929874057662,NA,16.425470243625753,10.700000000000001,268.9,45.53,558,12.9,4.015000000000001,227.6,32.1,6.3,1.01,0.35,41,4.7,NA,NA,NA,sb
CI_sb_YAMS_0010,CI,sb_icraf,soil,160,13.035,1.271,1250,298,32.3,0,56.2,1.43,2.42,3.55,9.017496343993734,99.9953118091368,NA,4.601143627150481,15.95,241.1,53.78999999999999,447.6,20.82,7.5680000000000005,433.5,29.2,11.6,0.55,0.656,27,5.24,NA,NA,NA,sb
CI_sb_YAMS_0011,CI,sb_icraf,soil,181.00000000000003,18.286,1.3850000000000002,797,69.3,287,4.83,25.1,2.09,5.23,3.47,5.444942919450018,99.00431067399819,NA,2.302618751309415,14.59,227.39999999999998,102.4,412.4,8.324,1.36,190.8,21.6,7.6,0.396,0.1118,90.4,6.6,NA,NA,NA,sb
CI_sb_YAMS_0012,CI,sb_icraf,soil,186,9.009,0.967,506,71.4,105,0,15.4,2.14,6.91,3.37,3.448790982513652,99.98144656253606,NA,1.533536873892321,21.869999999999997,231,80,493.5,18.509999999999998,1.476,796.9999999999999,29.8,26.7,1.224,1.348,12.2,16.5,NA,NA,NA,sb
CI_sb_YAMS_0013,CI,sb_icraf,soil,157,9.584,0.9339999999999999,809,76.3,42.4,0,19,1.81,7.56,3.43,4.8566293278569,99.98852490470192,NA,2.6667614446177077,13.129999999999999,250.2,53.99,509,19.86,2.526,293.7,17.5,9.7,0.656,0.442,44.8,9.28,NA,NA,NA,sb
